GEO_series	Title	Samples Information	pubmed ID	Platform	platform Name
GSE111711	OncoScan analysis to investigate CNV in breast tumors developed by ATM mutation carriers	23 samples	29665859	GPL18602; GPL21558	[OncoScan] Affymetrix OncoScan FFPE Assay
GSE83916	Oncoscan for HER2 copy number assessment	29 tumors alone	"27716627; 287701037
"	GPL18602	[OncoScan] Affymetrix OncoScan FFPE Assay
GSE80806	Copy number profiling of synchronous primary and metastasis of invasive breast cancer	"5 primary and metastasis, 2 primary only"	na	GPL18602	[OncoScan] Affymetrix OncoScan FFPE Assay
GSE94695	Oncoscan for subclonal analysis in a lobular breast cancer with classical and solid growth pattern mimicking a solid-papillary carcinoma	1 tumor 3 parts	28770103	GPL18602	[OncoScan] Affymetrix OncoScan FFPE Assay
GSE107394	Genomic aberrations in metaplastic breast carcinomas and adenomyoepitheliomas	43 samples (34 Metaplastic breast carcinomas 9 adenomyoepitheliomas)	na	GPL18602	[OncoScan] Affymetrix OncoScan FFPE Assay
GSE115890	Affymetrix OncoScan CN analysis on breast cancer in women affected with Neurofibromatosis type 1	11 samples tumor only	na	GPL18602	[OncoScan] Affymetrix OncoScan FFPE Assay
GSE125700	OncoScan analysis of breast carcinomas from the Swedish haemangioma cohort	31 samples tumor only	30938900	GPL18602	[OncoScan] Affymetrix OncoScan FFPE Assay
GSE131087	The genetic architecture of breast papillary lesions as a predictor of progression to carcinoma	16 samples	32195332	GPL18602; GPL15793	[OncoScan] Affymetrix OncoScan FFPE Assay; Affymetrix OncoScanª FFPE Express V2 334K
GSE118527	Genomic and Transcriptomic Landscape of Triple-Negative Breast Cancers: Subtypes and Treatment Strategies.	401 tumor samples with 23 matched WBC normal	30853353	GPL21558	[OncoScan_CNV] Affymetrix OncoScan CNV FFPE Assay
GSE31424	Copy number data and Stage I/II Breast Cancer	971 tumor alone		GPL13270	Affymetrix OncoScanª FFPE Express
GSE88909	"Oncoscanª Affymetrix array for pure LCIS, LCIS associated with ILC (invLCIS) and ILC"	"85 samples (30 pure LCIS, 30 invLCIS and paired ILC)"	28095868	GPL15793	 Affymetrix OncoScanª FFPE Express V2 334K
GSE28330	Telomeric Allelic Imbalance Indicates Defective DNA Repair and Sensitivity to DNA-Damaging Agents	"107 samples (67 tumors, 40 normal)"	22576213	GPL13270	Affymetrix OncoScanª FFPE Express
